# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   52       1.967026822611e-10       1.815829231291e-14       2.279996272656e-14       1.104033310657e-16       4.880434749029e-11       5.330141044659e-12      -8.455398680409e-15 
   53       1.994803058983e-10       1.927953330731e-14      -5.816505589658e-15       1.147088193281e-16       4.679712284107e-11       5.129676902854e-12      -8.549401508037e-15 
   54       2.022744459397e-10       2.043974314810e-14      -3.614703196001e-14       1.190973439210e-16       4.489535094624e-11       4.939642753509e-12      -8.816764395980e-15 
   55       2.050892774529e-10       2.163916094245e-14      -6.823173289313e-14       1.235688373902e-16       4.309835369678e-11       4.760025752119e-12      -9.211635615809e-15 
   56       2.079281928469e-10       2.287800583327e-14      -1.021135702129e-13       1.281232232110e-16       4.140213649288e-11       4.590484362249e-12      -9.679326132976e-15 
   57       2.107937245216e-10       2.415647721203e-14      -1.378385674234e-13       1.327604156627e-16       3.979917467545e-11       4.430326978428e-12      -1.015588177371e-14 
   58       2.136874675182e-10       2.547475493169e-14      -1.754560260742e-13       1.374803197038e-16       3.827819995774e-11       4.278490549034e-12      -1.056765539189e-14 
   59       2.166103931610e-10       2.683288214256e-14      -2.150044463628e-13       1.422828371600e-16       3.682730213423e-11       4.133828226190e-12      -1.084879665197e-14 
   60       2.195640507129e-10       2.823038154340e-14      -2.564649793942e-13       1.471678872529e-16       3.544456040228e-11       3.996098873586e-12      -1.099943605837e-14 
   61       2.225495085707e-10       2.966655023025e-14      -2.997975283338e-13       1.521353906253e-16       3.412950788584e-11       3.865169979220e-12      -1.104028086930e-14 
   62       2.255669250237e-10       3.114056554851e-14      -3.449538309589e-13       1.571852635348e-16       3.287993431750e-11       3.740718153991e-12      -1.099606140929e-14 
   63       2.286154841571e-10       3.265148132697e-14      -3.918771914212e-13       1.623174179415e-16       3.169178485231e-11       3.622218230079e-12      -1.089571061286e-14 
   64       2.316933317561e-10       3.419822411174e-14      -4.405022120102e-13       1.675317615974e-16       3.055905888169e-11       3.508932359327e-12      -1.077254356825e-14 
   65       2.347984913328e-10       3.577971331115e-14      -4.907689501193e-13       1.728282112713e-16       2.947546575772e-11       3.400113013275e-12      -1.065693779470e-14 
   66       2.379319816565e-10       3.739525966328e-14      -5.426694764377e-13       1.782067354799e-16       2.844002680858e-11       3.295686439200e-12      -1.055216901373e-14 
   67       2.410952468358e-10       3.904424467424e-14      -5.962107266132e-13       1.836673209917e-16       2.745248235904e-11       3.195694888271e-12      -1.045376364244e-14 
   68       2.442891984608e-10       4.072600385922e-14      -6.514010788441e-13       1.892099609369e-16       2.651158843856e-11       3.100090659558e-12      -1.035651682909e-14 
   69       2.475141789230e-10       4.243982644260e-14      -7.082504891442e-13       1.948346552643e-16       2.561506473951e-11       3.008731181677e-12      -1.025446222713e-14 
   70       2.507699247352e-10       4.418495505792e-14      -7.667706266078e-13       2.005414111966e-16       2.475954257538e-11       2.921374094435e-12      -1.014084176920e-14 
   71       2.540555298522e-10       4.596058544791e-14      -8.269750086748e-13       2.063302436872e-16       2.394051283904e-11       2.837672330477e-12      -1.000807544115e-14 
   72       2.573700294172e-10       4.776582745471e-14      -8.888699317166e-13       2.122011866090e-16       2.315348585561e-11       2.757268148010e-12      -9.850064313154e-15 
   73       2.607143622348e-10       4.959957998831e-14      -9.524249467769e-13       2.181543277930e-16       2.239784433479e-11       2.680107054830e-12      -9.669678586534e-15 
   74       2.640897204623e-10       5.146063140443e-14      -1.017596934710e-12       2.241897815710e-16       2.167363938829e-11       2.606175534312e-12      -9.472658946115e-15 
   75       2.674969404276e-10       5.334769492426e-14      -1.084338735111e-12       2.303076793285e-16       2.098042020621e-11       2.535404819459e-12      -9.265433309710e-15 
   76       2.709364801148e-10       5.525940745065e-14      -1.152599071425e-12       2.365081702057e-16       2.031720968407e-11       2.467668233699e-12      -9.055139872856e-15 
   77       2.744083966486e-10       5.719432838439e-14      -1.222322476065e-12       2.427914217989e-16       1.968248004985e-11       2.402778531689e-12      -8.849650153533e-15 
   78       2.779123237799e-10       5.915093844042e-14      -1.293449215519e-12       2.491576208618e-16       1.907412849105e-11       2.340485240119e-12      -8.657592036893e-15 
   79       2.814474493707e-10       6.112763846407e-14      -1.365915215466e-12       2.556069740067e-16       1.848945278173e-11       2.280471998511e-12      -8.488372819985e-15 
   80       2.850129587040e-10       6.312280203887e-14      -1.439657585546e-12       2.621397031409e-16       1.792582246413e-11       2.222434888901e-12      -8.349959965759e-15 
   81       2.886095026079e-10       6.513494643582e-14      -1.514632463381e-12       2.687560293211e-16       1.738288025034e-11       2.166338941041e-12      -8.241728817474e-15 
   82       2.922379443872e-10       6.716258933023e-14      -1.590800147255e-12       2.754561873622e-16       1.686068022603e-11       2.112201527590e-12      -8.160409028088e-15 
   83       2.958989029700e-10       6.920419746229e-14      -1.668119800062e-12       2.822404314474e-16       1.635901493724e-11       2.060014190286e-12      -8.102198333461e-15 
   84       2.995927390188e-10       7.125818644942e-14      -1.746549478121e-12       2.891090357319e-16       1.587740389808e-11       2.009741480541e-12      -8.062744073182e-15 
   85       3.033195410426e-10       7.332292059871e-14      -1.826046159982e-12       2.960622949469e-16       1.541508209841e-11       1.961319800043e-12      -8.037124711386e-15 
