# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  123       4.483947939239e-10       5.639429009150e-12       8.124515476991e-13 
  124       4.528796830969e-10       5.509119674419e-12       7.982599259288e-13 
  125       4.573720172385e-10       5.382301752221e-12       7.843930416257e-13 
  126       4.618710251732e-10       5.258970721859e-12       7.708518642735e-13 
  127       4.663758662072e-10       5.139104572721e-12       7.576355792071e-13 
  128       4.708856281724e-10       5.022663311302e-12       7.447415359609e-13 
  129       4.753993254710e-10       4.909588468234e-12       7.321651966180e-13 
  130       4.799158971191e-10       4.799802605312e-12       7.199000841586e-13 
  131       4.844342047912e-10       4.693208822525e-12       7.079377308096e-13 
  132       4.889530308642e-10       4.589690265076e-12       6.962676263928e-13 
  133       4.934710764613e-10       4.489109630416e-12       6.848771666743e-13 
  134       4.979869594966e-10       4.391308675270e-12       6.737516017128e-13 
  135       5.024992127186e-10       4.296107722660e-12       6.628739842090e-13 
  136       5.070062817549e-10       4.203305168937e-12       6.522251178544e-13 
  137       5.115066578759e-10       4.112720010263e-12       6.417878409330e-13 
  138       5.159992959316e-10       4.024325432172e-12       6.315604867363e-13 
  139       5.204832361557e-10       3.938128173405e-12       6.215447245730e-13 
  140       5.249574722354e-10       3.854126528925e-12       6.117413255818e-13 
  141       5.294209502106e-10       3.772310129991e-12       6.021501385976e-13 
  142       5.338725673732e-10       3.692659724247e-12       5.927700660165e-13 
  143       5.383111711664e-10       3.615146955792e-12       5.835990396617e-13 
  144       5.427355580835e-10       3.539734145269e-12       5.746339966490e-13 
  145       5.471444725678e-10       3.466374069940e-12       5.658708552521e-13 
  146       5.515366059113e-10       3.395009743765e-12       5.573044907686e-13 
  147       5.559105951538e-10       3.325574197487e-12       5.489287113852e-13 
  148       5.602650219828e-10       3.257990258706e-12       5.407362340434e-13 
  149       5.645984116318e-10       3.192170331964e-12       5.327186603050e-13 
  150       5.689092317803e-10       3.128016178822e-12       5.248664522177e-13 
  151       5.731958914526e-10       3.065418697941e-12       5.171689081807e-13 
  152       5.774567399171e-10       3.004257705162e-12       5.096141388102e-13 
  153       5.816901901572e-10       2.944426613841e-12       5.021915742395e-13 
  154       5.858951045128e-10       2.885909519648e-12       4.948997990139e-13 
  155       5.900704429474e-10       2.828710893854e-12       4.877394027228e-13 
  156       5.942151412350e-10       2.772831234615e-12       4.807105028599e-13 
  157       5.983281104935e-10       2.718266973872e-12       4.738127335811e-13 
  158       6.024082367188e-10       2.665010384241e-12       4.670452344627e-13 
  159       6.064543803183e-10       2.613049485915e-12       4.604066392592e-13 
  160       6.104653756443e-10       2.562367953554e-12       4.538950646615e-13 
  161       6.144400305278e-10       2.512945023183e-12       4.475080990548e-13 
  162       6.183771258125e-10       2.464755399088e-12       4.412427912766e-13 
  163       6.222754148878e-10       2.417769160711e-12       4.350956393748e-13 
  164       6.261336232230e-10       2.371951669548e-12       4.290625793657e-13 
  165       6.299504479006e-10       2.327263476038e-12       4.231389739921e-13 
  166       6.337245571501e-10       2.283660226467e-12       4.173196014811e-13 
  167       6.374545898818e-10       2.241092569859e-12       4.115986443023e-13 
  168       6.411391552200e-10       2.199506064870e-12       4.059696779257e-13 
  169       6.447768320371e-10       2.158841086690e-12       4.004256595797e-13 
  170       6.483661684871e-10       2.119032733932e-12       3.949589170095e-13 
  171       6.519057753014e-10       2.080023848923e-12       3.895628404771e-13 
  172       6.553946153823e-10       2.041805491760e-12       3.842371406159e-13 
  173       6.588317375748e-10       2.004379678328e-12       3.789830094804e-13 
  174       6.622161849951e-10       1.967746531376e-12       3.738014525062e-13 
  175       6.655469949464e-10       1.931904240912e-12       3.686932842164e-13 
  176       6.688231988352e-10       1.896849024606e-12       3.636591239293e-13 
  177       6.720438220877e-10       1.862575088183e-12       3.586993914652e-13 
  178       6.752078840658e-10       1.829074585825e-12       3.538143028539e-13 
  179       6.783143979834e-10       1.796337580565e-12       3.490038660417e-13 
  180       6.813623708223e-10       1.764352004688e-12       3.442678765988e-13 
  181       6.843508032490e-10       1.733103620126e-12       3.396059134262e-13 
  182       6.872786895302e-10       1.702575978860e-12       3.350173344632e-13 
  183       6.901450174497e-10       1.672750383313e-12       3.305012723943e-13 
  184       6.929487682238e-10       1.643605846750e-12       3.260566303566e-13 
  185       6.956889164182e-10       1.615119053678e-12       3.216820776470e-13 
  186       6.983644298639e-10       1.587264320241e-12       3.173760454291e-13 
  187       7.009742695733e-10       1.560013554617e-12       3.131367224408e-13 
  188       7.035173896567e-10       1.533336217419e-12       3.089620507013e-13 
  189       7.059927372380e-10       1.507199282091e-12       3.048497212182e-13 
  190       7.083992523716e-10       1.481567195308e-12       3.007971696948e-13 
  191       7.107359394129e-10       1.456408834307e-12       2.968021521186e-13 
  192       7.130020872855e-10       1.431719044243e-12       2.928645286886e-13 
