# Matter power spectrum P(k) at redshift z=0
# for k=1.09407e-05 to 1.13086 h/Mpc,
# number of wavenumbers equal to 601
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.257441209910e-02       1.784560648775e+04 
       3.272751583848e-02       1.777539508515e+04 
       3.288103623574e-02       1.770461710603e+04 
       3.303498386735e-02       1.763389201898e+04 
       3.318936963115e-02       1.756315021931e+04 
       3.334420475842e-02       1.749189238066e+04 
       3.349950082663e-02       1.742088230076e+04 
       3.365526977270e-02       1.734951779814e+04 
       3.381152390696e-02       1.727826753299e+04 
       3.396827592775e-02       1.720658314358e+04 
       3.412553893677e-02       1.713496192300e+04 
       3.428332645515e-02       1.706305135756e+04 
       3.444165244035e-02       1.699095171358e+04 
       3.460053130390e-02       1.691874587458e+04 
       3.475997793007e-02       1.684667375783e+04 
       3.492000769547e-02       1.677453124421e+04 
       3.508063648968e-02       1.670189750258e+04 
       3.524188073696e-02       1.662962947381e+04 
       3.540375741913e-02       1.655659087348e+04 
       3.556628409969e-02       1.648400027620e+04 
       3.572947894919e-02       1.641122640921e+04 
       3.589336077205e-02       1.633825504865e+04 
       3.605794903485e-02       1.626517751756e+04 
       3.622326389619e-02       1.619202773795e+04 
       3.638932623829e-02       1.611891537307e+04 
       3.655615770031e-02       1.604562094487e+04 
       3.672378071373e-02       1.597205317625e+04 
       3.689221853966e-02       1.589839315400e+04 
       3.706149530851e-02       1.582473402766e+04 
       3.723163606193e-02       1.575097719324e+04 
       3.740266679735e-02       1.567715008066e+04 
       3.757461451523e-02       1.560320393454e+04 
       3.774750726929e-02       1.552920784015e+04 
       3.792137421984e-02       1.545500644622e+04 
       3.809624569061e-02       1.538075914556e+04 
       3.827215322911e-02       1.530636793947e+04 
       3.844912967107e-02       1.523170520087e+04 
       3.862720920905e-02       1.515724059608e+04 
       3.880642746572e-02       1.508267456636e+04 
       3.898682157207e-02       1.500776313529e+04 
       3.916843025102e-02       1.493289070869e+04 
       3.935129390687e-02       1.485775465157e+04 
       3.953545472109e-02       1.478270522020e+04 
       3.972095675492e-02       1.470735734689e+04 
       3.990784605953e-02       1.463182342143e+04 
       4.009617079416e-02       1.455640214728e+04 
       4.028598135328e-02       1.448063728506e+04 
       4.047733050319e-02       1.440470905682e+04 
       4.067027352930e-02       1.432873189957e+04 
       4.086486839486e-02       1.425252298065e+04 
       4.106117591225e-02       1.417600459951e+04 
       4.125925992809e-02       1.409950884239e+04 
       4.145918752353e-02       1.402275675958e+04 
       4.166102923109e-02       1.394583400212e+04 
       4.186485926988e-02       1.386866491881e+04 
       4.207075580095e-02       1.379131991991e+04 
       4.227880120492e-02       1.371372175557e+04 
       4.248908238423e-02       1.363584088820e+04 
       4.270169109258e-02       1.355775677305e+04 
       4.291672429468e-02       1.347940379257e+04 
       4.313428455947e-02       1.340072721225e+04 
       4.335448049070e-02       1.332178651403e+04 
       4.357742719923e-02       1.324256541803e+04 
       4.380324682168e-02       1.316299504677e+04 
       4.403206909125e-02       1.308303526881e+04 
       4.426403196675e-02       1.300276866324e+04 
       4.449928232726e-02       1.292203608051e+04 
       4.473797674052e-02       1.284095238644e+04 
       4.498028231459e-02       1.275946202441e+04 
       4.522637764364e-02       1.267749285429e+04 
       4.547645386049e-02       1.259499226676e+04 
       4.573071581043e-02       1.251208750602e+04 
       4.598938336307e-02       1.242845494031e+04 
       4.625269288211e-02       1.234434291385e+04 
       4.652089887566e-02       1.225975260117e+04 
       4.679427585407e-02       1.217437118624e+04 
       4.707312042676e-02       1.208831671277e+04 
       4.735775367497e-02       1.200153271731e+04 
       4.764852384445e-02       1.191395594617e+04 
       4.794580940991e-02       1.182550494039e+04 
       4.825002257315e-02       1.173623413824e+04 
       4.856161326881e-02       1.164598950726e+04 
       4.888107376628e-02       1.155458976352e+04 
       4.920894397462e-02       1.146227650387e+04 
       4.954581757943e-02       1.136877629153e+04 
       4.989234916830e-02       1.127378661759e+04 
       5.024926253583e-02       1.117771351948e+04 
       5.061736040185e-02       1.107995823713e+04 
       5.099753583048e-02       1.098075945795e+04 
       5.139078570481e-02       1.087982178960e+04 
       5.179822669763e-02       1.077699937854e+04 
       5.222111428656e-02       1.067228198025e+04 
       5.266086549957e-02       1.056506776218e+04 
       5.311908625168e-02       1.045556365159e+04 
       5.359760435697e-02       1.034345057690e+04 
       5.409850958429e-02       1.022833395109e+04 
       5.462420248602e-02       1.011007397379e+04 
       5.517745418400e-02       9.988162341235e+03 
       5.576147986277e-02       9.862250754668e+03 
       5.638002940703e-02       9.731909335035e+03 
       5.703749941851e-02       9.596576342836e+03 
       5.709473443812e-02       9.584986573774e+03 
       5.773907170075e-02       9.455397532524e+03 
       5.849088404619e-02       9.307892797706e+03 
       5.930023942415e-02       9.152983311398e+03 
       6.017585864848e-02       8.989568889157e+03 
       6.112817769364e-02       8.816219727949e+03 
       6.216968095951e-02       8.631561723597e+03 
       6.331524047245e-02       8.433341101451e+03 
       6.458238934326e-02       8.219347646527e+03 
       6.599138387915e-02       7.986865405083e+03 
       6.756479405379e-02       7.732386392224e+03 
       6.932622395734e-02       7.452362284347e+03 
       7.129769645786e-02       7.144382022060e+03 
       7.349547063955e-02       6.805709486648e+03 
       7.592489827313e-02       6.436363893333e+03 
       7.857628759988e-02       6.039890600277e+03 
       8.142450436465e-02       5.623745752067e+03 
       8.443358255190e-02       5.199031911910e+03 
       8.756437297576e-02       4.778842654052e+03 
       9.078140903445e-02       4.376158162348e+03 
       9.405653100422e-02       4.001649144975e+03 
       9.736937157919e-02       3.662928704701e+03 
       1.007061068743e-01       3.364156285009e+03 
       1.040577385715e-01       3.106467492123e+03 
       1.074185641171e-01       2.888128638515e+03 
       1.107850297332e-01       2.705592735577e+03 
       1.141549435623e-01       2.553980198068e+03 
       1.175269622331e-01       2.427632699373e+03 
       1.209002654934e-01       2.320497822556e+03 
       1.242743535779e-01       2.226624578095e+03 
       1.276489223193e-01       2.140593854536e+03 
       1.310237866578e-01       2.057583799931e+03 
       1.343988339681e-01       1.974174854113e+03 
       1.377739956464e-01       1.887736263605e+03 
       1.411492298352e-01       1.797523953169e+03 
       1.445245109292e-01       1.703741524630e+03 
       1.478998232024e-01       1.607765744704e+03 
       1.512751569391e-01       1.511649768862e+03 
       1.546505060840e-01       1.417775639047e+03 
       1.580258668160e-01       1.328444770448e+03 
       1.614012366808e-01       1.245545184382e+03 
       1.647766140642e-01       1.170470262133e+03 
       1.681519978715e-01       1.103934991688e+03 
       1.715273873314e-01       1.046043568316e+03 
       1.749027818775e-01       9.963792746997e+02 
       1.782781810742e-01       9.540990516596e+02 
       1.816535845725e-01       9.180504749573e+02 
       1.850289920816e-01       8.869126838890e+02 
       1.884044033517e-01       8.593197626737e+02 
       1.917798181627e-01       8.339499322714e+02 
       1.951552363173e-01       8.097823738235e+02 
       1.985306576364e-01       7.856224024359e+02 
       2.019060819554e-01       7.607383862855e+02 
       2.052815091225e-01       7.347189277140e+02 
       2.086569389967e-01       7.075079527336e+02 
       2.120323714467e-01       6.793138335617e+02 
       2.154078063498e-01       6.505704022253e+02 
       2.187832435913e-01       6.218809893543e+02 
       2.221586830637e-01       5.938216966129e+02 
       2.255341246657e-01       5.669216542498e+02 
       2.289095683025e-01       5.416211076405e+02 
       2.322850138847e-01       5.182423787762e+02 
       2.356604613280e-01       4.969542098738e+02 
       2.390359105530e-01       4.778192392006e+02 
       2.424113614848e-01       4.607869642342e+02 
       2.457868140526e-01       4.456915124825e+02 
