# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  280       6.145511620647e-10       3.916272582146e-13       9.554963295469e-14 
  281       6.106389237898e-10       3.866318284866e-13       9.426228415424e-14 
  282       6.066915701580e-10       3.817183064053e-13       9.298749913357e-14 
  283       6.027104459436e-10       3.768853689350e-13       9.172535000878e-14 
  284       5.986969212836e-10       3.721315898222e-13       9.047589793014e-14 
  285       5.946523918120e-10       3.674554384459e-13       8.923919293507e-14 
  286       5.905782787937e-10       3.628552786661e-13       8.801527380104e-14 
  287       5.864760292582e-10       3.583293676735e-13       8.680416789857e-14 
  288       5.823471161339e-10       3.538758548388e-13       8.560589104408e-14 
  289       5.781930383822e-10       3.494927805618e-13       8.442044735294e-14 
  290       5.740153211311e-10       3.451780751212e-13       8.324782909231e-14 
  291       5.698155158095e-10       3.409295575235e-13       8.208801653413e-14 
  292       5.655952002813e-10       3.367449343524e-13       8.094097780806e-14 
  293       5.613559789789e-10       3.326217986183e-13       7.980666875442e-14 
  294       5.570994830378e-10       3.285576286077e-13       7.868503277709e-14 
  295       5.528273704302e-10       3.245497867319e-13       7.757600069650e-14 
  296       5.485413260992e-10       3.205955183772e-13       7.647949060255e-14 
  297       5.442429580863e-10       3.166924597825e-13       7.539543001004e-14 
  298       5.399334800441e-10       3.128401913985e-13       7.432382382050e-14 
  299       5.356140135198e-10       3.090387579493e-13       7.326468938394e-14 
  300       5.312856905610e-10       3.052881657646e-13       7.221803437835e-14 
  301       5.269496537085e-10       3.015883823192e-13       7.118385669292e-14 
  302       5.226070559894e-10       2.979393357720e-13       7.016214431121e-14 
  303       5.182590609101e-10       2.943409145059e-13       6.915287519428e-14 
  304       5.139068424493e-10       2.907929666674e-13       6.815601716394e-14 
  305       5.095515850508e-10       2.872952997056e-13       6.717152778590e-14 
  306       5.051944836166e-10       2.838476799121e-13       6.619935425292e-14 
  307       5.008367435002e-10       2.804498319604e-13       6.523943326803e-14 
  308       4.964795804988e-10       2.771014384453e-13       6.429169092769e-14 
  309       4.921242208470e-10       2.738021394224e-13       6.335604260497e-14 
  310       4.877719012097e-10       2.705515319477e-13       6.243239283270e-14 
  311       4.834238686747e-10       2.673491696170e-13       6.152063518673e-14 
