#scalar perturbations for mode k = 4.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_NEDE            17:theta_NEDE            18:shear_NEDE            19:delta_cdm             20:theta_cdm             21:delta_trigger         22:theta_hat_trigger  
       4.243390027142e-05       9.155309690707e-11      -9.603415779735e-13      -5.436511920813e-21       1.326971641371e-22       3.317429103427e-22       4.855584143499e-38       6.634858206855e-23      -7.202561834801e-13      -5.436511920813e-21       6.012501602531e-01       6.995505400987e-01      -9.603415779735e-13      -8.050685536527e-21       1.154329800588e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -7.202561834802e-13       0.000000000000e+00      -3.905516041236e-39      -4.888775424540e-43 
       4.294523676534e-05       9.265632906576e-11      -9.836254998493e-13      -5.635318756740e-21       1.375540542422e-22       3.438851356055e-22       5.155340312217e-38       6.877702712110e-23      -7.377191248870e-13      -5.635318756740e-21       6.012466666745e-01       6.995466639598e-01      -9.836254998492e-13      -8.345078479419e-21       1.182312602985e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -7.377191248870e-13       0.000000000000e+00      -4.200905936041e-39      -5.314136316529e-43 
       4.345657325927e-05       9.375956122660e-11      -1.007188319751e-12      -5.838918416221e-21       1.425279645857e-22       3.563199114642e-22       5.469718546068e-38       7.126398229284e-23      -7.553912398135e-13      -5.838918416221e-21       6.012433680752e-01       6.995430250751e-01      -1.007188319751e-12      -8.646568282394e-21       1.210630937466e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -7.553912398135e-13       0.000000000000e+00      -4.514713631793e-39      -5.770925923405e-43 
       4.726500733538e-05       1.019764341461e-10      -1.191458413056e-12      -7.515056501414e-21       1.833399453511e-22       4.583498633778e-22       8.323203341886e-38       9.166997267555e-23      -8.935938097919e-13      -7.515056501414e-21       6.013139265643e-01       6.996092572143e-01      -1.191458413056e-12      -1.112856667875e-20       1.432059836077e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -8.935938097919e-13       0.000000000000e+00      -7.358585204714e-39      -1.045637175113e-42 
       4.840753755822e-05       1.044414960451e-10      -1.249756325848e-12      -8.072900845490e-21       1.969664788955e-22       4.924161972388e-22       9.379339440614e-38       9.848323944777e-23      -9.373172443863e-13      -8.072900845489e-21       6.013045242603e-01       6.995985786679e-01      -1.249756325848e-12      -1.195460728800e-20       1.502111083131e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -9.373172443864e-13       0.000000000000e+00      -8.508430280717e-39      -1.234525266952e-42 
       4.955006778106e-05       1.069065579548e-10      -1.309446645028e-12      -8.657713052851e-21       2.112516303583e-22       5.281290758957e-22       1.054004650299e-37       1.056258151791e-22      -9.820849837711e-13      -8.657713052851e-21       6.012959893281e-01       6.995889211301e-01      -1.309446645028e-12      -1.282057775894e-20       1.573836508453e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -9.820849837712e-13       0.000000000000e+00      -9.805479190799e-39      -1.452028472418e-42 
       5.069259800389e-05       1.093716198752e-10      -1.370529370064e-12      -9.270143779545e-21       2.262107156440e-22       5.655267891100e-22       1.181289180691e-37       1.131053578220e-22      -1.027897027548e-12      -9.270143779545e-21       6.012884812531e-01       6.995804725239e-01      -1.370529370064e-12      -1.372744174738e-20       1.647236872953e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.027897027548e-12       0.000000000000e+00      -1.126461815559e-38      -1.701705687269e-42 
       5.183512822673e-05       1.118366818063e-10      -1.433004500406e-12      -9.910818110913e-21       2.418594604423e-22       6.046486511057e-22       1.320582049590e-37       1.209297302211e-22      -1.074753375304e-12      -9.910818110913e-21       6.012816283854e-01       6.995728481236e-01      -1.433004500406e-12      -1.467612513300e-20       1.722312300408e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.074753375305e-12       0.000000000000e+00      -1.290180585024e-38      -1.987404573768e-42 
       5.452469383751e-05       1.176395443601e-10      -1.585570571058e-12      -1.153521319188e-20       2.814915747278e-22       7.037289368194e-22       1.700614320770e-37       1.407457873639e-22      -1.189177928294e-12      -1.153521319188e-20       6.012865684500e-01       6.995762076950e-01      -1.585570571058e-12      -1.708145100721e-20       1.905649570696e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.189177928294e-12       0.000000000000e+00      -1.747835633331e-38      -2.832398497409e-42 
       5.721425944829e-05       1.234424069731e-10      -1.745852676080e-12      -1.332803486363e-20       3.252330176231e-22       8.130825440578e-22       2.163501273781e-37       1.626165088116e-22      -1.309389507060e-12      -1.332803486363e-20       6.012906429739e-01       6.995789125552e-01      -1.745852676080e-12      -1.973616205308e-20       2.098258950644e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.309389507060e-12       0.000000000000e+00      -2.333394713883e-38      -3.968176205499e-42 
       5.802112913153e-05       1.251832657686e-10      -1.795441933935e-12      -1.389944822065e-20       3.391954774034e-22       8.479886935084e-22       2.320472207991e-37       1.695977387017e-22      -1.346581450451e-12      -1.389944822065e-20       6.012842505747e-01       6.995721762091e-01      -1.795441933935e-12      -2.058227706171e-20       2.157850519930e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.346581450452e-12       0.000000000000e+00      -2.541667147639e-38      -4.374004781606e-42 
       5.882799881476e-05       1.269241245694e-10      -1.845725634413e-12      -1.448702414287e-20       3.535509710881e-22       8.838774277203e-22       2.486418059822e-37       1.767754855441e-22      -1.384294225810e-12      -1.448702414287e-20       6.012788047486e-01       6.995664453308e-01      -1.845725634413e-12      -2.145232375588e-20       2.218277612282e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.384294225810e-12       0.000000000000e+00      -2.765013301342e-38      -4.815245556403e-42 
       5.963486849799e-05       1.286649833755e-10      -1.896703777401e-12      -1.509096499196e-20       3.683053260724e-22       9.207633151811e-22       2.661720807045e-37       1.841526630362e-22      -1.422527833051e-12      -1.509096499196e-20       6.012739189958e-01       6.995613320853e-01      -1.896703777401e-12      -2.234660189620e-20       2.279540296200e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.422527833051e-12       0.000000000000e+00      -3.004424850094e-38      -5.294321946789e-42 
       6.044173818123e-05       1.304058421870e-10      -1.948376362823e-12      -1.571147837644e-20       3.834642868786e-22       9.586607171965e-22       2.846772641367e-37       1.917321434393e-22      -1.461282272117e-12      -1.571147837644e-20       6.012693316999e-01       6.995565689886e-01      -1.948376362823e-12      -2.326541901933e-20       2.341638537250e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.461282272117e-12       0.000000000000e+00      -3.260882382640e-38      -5.813815516042e-42 
       6.286234723093e-05       1.356284186534e-10      -2.107560772920e-12      -1.767550189069e-20       4.314104794048e-22       1.078526198512e-21       3.464382614988e-37       2.157052397024e-22      -1.580670579690e-12      -1.767550189069e-20       6.012664044195e-01       6.995532334658e-01      -2.107560772920e-12      -2.617361856476e-20       2.532942628022e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.580670579690e-12       0.000000000000e+00      -4.133200135304e-38      -7.650634282090e-42 
       6.528295628064e-05       1.408509951678e-10      -2.272995162802e-12      -1.979681906405e-20       4.831940766705e-22       1.207985191676e-21       4.184804800497e-37       2.415970383352e-22      -1.704746372101e-12      -1.979681906405e-20       6.012644279128e-01       6.995509847105e-01      -2.272995162802e-12      -2.931472501568e-20       2.731760326219e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.704746372102e-12       0.000000000000e+00      -5.190635040590e-38      -9.964850206507e-42 
       6.770356533034e-05       1.460735717302e-10      -2.444679531008e-12      -2.208130232735e-20       5.389658277764e-22       1.347414569441e-21       5.020399658629e-37       2.694829138882e-22      -1.833509648256e-12      -2.208130232735e-20       6.012615271765e-01       6.995479087248e-01      -2.444679531008e-12      -3.269743464248e-20       2.938091228339e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.833509648257e-12       0.000000000000e+00      -6.464880014423e-38      -1.285399830663e-41 
       6.842974804525e-05       1.476403447083e-10      -2.497403587098e-12      -2.279901884768e-20       5.565028281993e-22       1.391257070498e-21       5.295552045148e-37       2.782514140997e-22      -1.873052690323e-12      -2.279901884768e-20       6.012574401905e-01       6.995437986659e-01      -2.497403587098e-12      -3.376018079918e-20       3.001455979846e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.873052690324e-12       0.000000000000e+00      -6.898681154920e-38      -1.384547669691e-41 
       6.915593076016e-05       1.492071176907e-10      -2.550690141046e-12      -2.353217340814e-20       5.744153296296e-22       1.436038324074e-21       5.582630286493e-37       2.872076648148e-22      -1.913017605785e-12      -2.353217340814e-20       6.012538586901e-01       6.995402180068e-01      -2.550690141046e-12      -3.484578654009e-20       3.065497474586e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.913017605785e-12       0.000000000000e+00      -7.356103039653e-38      -1.490237842329e-41 
       6.988211347507e-05       1.507738906775e-10      -2.604539192839e-12      -2.428090809671e-20       5.927076692584e-22       1.481769173146e-21       5.882021319377e-37       2.963538346292e-22      -1.953404394630e-12      -2.428090809671e-20       6.012505669094e-01       6.995369498606e-01      -2.604539192839e-12      -3.595446233808e-20       3.130215724296e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.953404394630e-12       0.000000000000e+00      -7.838367926912e-38      -1.602804205990e-41 
       7.060829618998e-05       1.523406636685e-10      -2.658950742469e-12      -2.504537209782e-20       6.113840689123e-22       1.528460172281e-21       6.194119337301e-37       3.056920344562e-22      -1.994213056852e-12      -2.504537209782e-20       6.012474314741e-01       6.995338586332e-01      -2.658950742468e-12      -3.708642917607e-20       3.195610702329e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.994213056852e-12       0.000000000000e+00      -8.346656555947e-38      -1.722601046519e-41 
       7.787012333909e-05       1.680083938168e-10      -3.234003612494e-12      -3.361373880295e-20       8.197827240660e-22       2.049456810165e-21       1.010170043841e-36       4.098913620330e-22      -2.425502709370e-12      -3.361373880295e-20       6.013624016245e-01       6.996450555292e-01      -3.234003612493e-12      -4.977378589321e-20       3.886578711484e-13       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -2.425502709371e-12       0.000000000000e+00      -1.459784553550e-37      -3.456155765555e-41 
